Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,140-1238,Minor,processing alarm,cannot shrink datafile %s,An operating system error occurred during the resize.,"From Oracle doc: The error is ignored, operation continues normally.",-- not available --
Parvez,PCS,140-1239,Minor,processing alarm,database must be in ARCHIVELOG mode to use external cache,"An online file uses an external cache, but the database is in NOARCHIVELOG mode. Since an external cache may require media recovery this cannot be allowed.",From Oracle doc: Change database to be in ARCHIVELOG mode or do not use an external cache.,-- not available --
Parvez,PCS,140-1240,Minor,processing alarm,too many data files to add in one command,"The command specifies adding more datafiles than can be done in one command. It is necessary to fit all the file names into one log entry, but that would make the entry too large.","From Oracle doc: If this is a CREATE TABLESPACE command, create with fewer files then add the other files later. If this is an ADD DATAFILE command, break it up into multiple commands.",-- not available --
Parvez,PCS,140-1241,Minor,processing alarm,an external cache has died,The external cache may have been restarted.,"From Oracle doc: Take the file mentioned in the error stack offline, perform media recovery, bring the file online, and retry the attempted operation. You may also restart all instances to make sure they access all datafiles through consistent external caches.",-- not available --
Parvez,PCS,140-1242,Minor,processing alarm,data file suffered media failure: database in NOARCHIVELOG mode,The database is in NOARCHIVELOG mode and a database file was detected as inaccessible due to media failure.,From Oracle doc: Restore accessibility to the file mentioned in the error stack and restart the instance.,-- not available --
Parvez,PCS,140-1243,Minor,processing alarm,system tablespace file suffered media failure,A system tablespace file was detected as inaccessible due to media failure.,From Oracle doc: Restore accessibility to the file mentioned in the error stack and restart the instance.,-- not available --
Parvez,PCS,140-1244,Minor,processing alarm,unnamed datafile(s) added to controlfile by media recovery,"Media recovery with a backup control file or a control file that was rebuilt, encountered the creation of a datafile that was not in the control file. An entry has been added to the control file for the new datafiles, but with the file name UNNAMEDnnnn, where nnnn is the file number. Attached errors describe the file names that were originally used to create the files.",From Oracle doc: Rename the files to valid file names and resume recovery. If necessary the command ALTER DATABASE CREATE DATAFILE may be used to create a file suitable for recovery and do the rename. If the file is not going to be recovered then take it offline with the FOR DROP option.,-- not available --
Parvez,PCS,140-1245,Minor,processing alarm,offline file %s will be lost if RESETLOGS is done,An attempt was made to do an OPEN RESETLOGS with a file that will be lost because it is offline. The file was not taken offline with the FOR DROP option.,"From Oracle doc: Either bring the file online and recover it, or take it offline with the FOR DROP option.",-- not available --
Parvez,PCS,140-1246,Minor,processing alarm,recovering files through TSPITR of tablespace %s,The files named in the accompanying errors are backups that were made before a tablespace point in time recovery of this tablespace. They cannot be recovered to a time after the point in time recovery.,From Oracle doc: Restore more recent backups and recover them.,-- not available --
Parvez,PCS,140-1247,Minor,processing alarm,database recovery through TSPITR of tablespace %s,"Recovery of the whole database encountered redo indicating there was a point in time recovery of the tablespace. The new version of the files in the tablespace should be included in the recovery, but that was not done.","From Oracle doc: If the tablespace should not be recovered, take its file offline for drop. If it should be recovered, then restore or rename as needed and restart the recovery.",-- not available --
Parvez,PCS,140-1248,Minor,processing alarm,file %s was created in the future of incomplete recovery,An attempt was made to do a RESETLOGS open with a file entry in the control file that was originally created after the UNTIL time of the incomplete recovery. Allowing such an entry may hide the version of the file that is needed at this time. The file number may be in use for a different file which would be lost if the RESETLOGS was allowed.,"From Oracle doc: If more recovery is desired then apply redo until the creation time of the file is reached. If the file is not wanted and the same file number is not in use at the stop time of the recovery, then the file can be taken offline with the FOR DROP option. Otherwise a different control file is needed to allow the RESETLOGS. Another backup can be restored and recovered, or a control file can be created via CREATE CONTROLFILE.",-- not available --
Parvez,PCS,140-1249,Minor,processing alarm,archiving not allowed in a clone database,An attempt was made to archive an online redo log or enable archiving for a clone database.,"From Oracle doc: Do not attempt to archive from a clone. The archive log destination could easily be the same as the primary database destroying its archived logs. If archiving is needed, then re-create the database not as a clone.",-- not available --
Parvez,PCS,140-1250,Minor,processing alarm,Error %s occurred during termination of file header access,The indicated error occurred while terminating the processing of file headers. The error was other than a write error.,From Oracle doc: The indicated error should be corrected.,-- not available --
Parvez,PCS,140-1251,Minor,processing alarm,Unknown File Header Version read for file number %s,"Read of the file header returned a record but its version cannot be identified. Either the header has been corrupted, or the file is not a valid database file.","From Oracle doc: Have the operating system make the correct file available to the database, or recover the file.",-- not available --
Parvez,PCS,140-1252,Warning,indeterminate,cannot prevent writes - file %s in recovery manager backup,"An attempt to make a tablespace read only or offline normal found that a recovery manager proxy backup is in progress. If the file is made offline or read only, then the file header cannot be updated when the backup is complete.",From Oracle doc: Wait for the Recovery Manager backup to complete and retry this command.,-- not available --
Parvez,PCS,140-1253,Warning,indeterminate,cannot start online backup - file %s in recovery manager backup,The specified file is being backed up by Recovery Manager.,From Oracle doc: Wait for the Recovery Manager proxy backup to complete before starting another backup.,-- not available --
Parvez,PCS,140-1254,Warning,indeterminate,cannot end online backup - file %s in recovery manager backup,The specified file is being backed up by Recovery Manager.,From Oracle doc: Wait for the Recovery Manager proxy backup to complete. Recovery Manager backup mode cannot be initiated or terminated manually.,-- not available --
Parvez,PCS,140-1255,Warning,indeterminate,cannot shutdown - file %s in recovery manager backup,An attempt to shut down normally found that a Recovery Manager backup is still in progress.,From Oracle doc: Wait for the Recovery Manager proxy backup to complete and retry this command.,-- not available --
Parvez,PCS,140-1280,Major,processing alarm,Fatal LogMiner Error.,"On of the following:

One or more input parameters in the DBMS_LOGMNR.START_LOGMNR() procedure may be invalid. 

The start or the end SCN may not be available in the log files selected. 

The dictionary file specified may be from a different database than the one that generated the log files. 

LogMiner may have encountered an internal error from which it cannot recover.","From Oracle doc: Check to see whether the input parameters are valid. The V$LOGMNR_LOG view can be queried to see the SCN ranges that are valid for the set of log files specified, and the DB_ID of the database that generated the log files.",-- not available --
Parvez,PCS,140-1281,Minor,processing alarm,SCN range specified in dbms_logmnr.start_logmnr() is invalid,"StartSCN may be greater than EndSCN, or the SCN specified may be invalid.",From Oracle doc: Specify a valid SCN range.,-- not available --
Parvez,PCS,140-1282,Minor,processing alarm,date range specified in dbms_logmnr.start_logmnr() is invalid,The specified Date value is invalid for the log file.,From Oracle doc: Specify a valid date range.,-- not available --
Parvez,PCS,140-1283,Minor,processing alarm,Options specified is invalid,The specified Options is invalid for the procedure.,From Oracle doc: Specify valid Options.,-- not available --
Parvez,PCS,140-1284,Minor,processing alarm,file %s cannot be opened,The specified file cannot be opened.,From Oracle doc: Check to make sure the file or directory exists and is accessible.,-- not available --
Parvez,PCS,140-1285,Minor,processing alarm,error reading file %s,The file or directory may not exist or is inaccessible.,From Oracle doc: Specify valid file or directory. Make sure that file and directory are accessible.,-- not available --
Parvez,PCS,140-1286,Minor,processing alarm,cannot add file %s due to DB_ID mismatch,The log file is produced by a different database than other log files already added to the list.,From Oracle doc: Specify a log file produced by the same database.,-- not available --
Parvez,PCS,140-1287,Minor,processing alarm,Reset SCN for file %s does not match that of other logfiles specified for this LogMiner session,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1288,Minor,processing alarm,Reset Count for file %s does not match that of other logfiles specified for this LogMiner session,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1289,Minor,processing alarm,cannot add duplicate logfile %s,The log file specified has already been added to the list of log files.,From Oracle doc: Specify a different log file.,-- not available --
Parvez,PCS,140-1290,Minor,processing alarm,cannot remove unlisted logfile %s,The user attempted to remove a log file that is not present in the list.,From Oracle doc: Specify a valid log file in the DBMS_LOGMNR.ADD_LOGFILE() procedure.,-- not available --
Parvez,PCS,140-1291,Minor,processing alarm,missing logfile,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1292,Minor,processing alarm,no log file has been specified for the current LogMiner session,No log file has been specified for the LogMiner session.,From Oracle doc: Specify at least one log file.,-- not available --
Parvez,PCS,140-1293,Minor,processing alarm,time or SCN range not fully contained in the listed logfiles,The input date/SCN range is not fully contained within the log files specified for the session.,"From Oracle doc: Select out of V$LOGMNR_LOGS view to check the date or SCN range covered by the log files specified for the LogMiner session, and reissue the START_LOGMNR() procedure with appropriate date or SCN range.",-- not available --
Parvez,PCS,140-1294,Minor,processing alarm,"error occurred while processing information in dictionary file %s, possible corruption",No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1295,Minor,processing alarm,DBID mismatch between dictionary %s and logfiles,The dictionary file is produced by a database that is different from that produced the log files.,From Oracle doc: Specify a compatible dictionary file.,-- not available --
Parvez,PCS,140-1296,Minor,processing alarm,character set mismatch between dictionary %s and logfiles,The character set of the database that produced the dictionary file is different from the character set of the database that produced the log files.,From Oracle doc: Specify a dictionary file with the same character set.,-- not available --
Parvez,PCS,140-1297,Minor,processing alarm,redo version mismatch between dictionary %s and logfiles,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1298,Minor,processing alarm,LowSCN mismatch between dictionary %s and the earliest logfile,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1299,Minor,processing alarm,ResetSCN mismatch between dictionary %s and the earliest logfile,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1300,Minor,processing alarm,enabled thread bit vector mismatch between dictionary %s and the earliest logfile,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1301,Minor,processing alarm,dbms_logmnr.USE_COLMAP can only be used with a valid dictionary,DBMS_LOGMNR.USE_COLMAP can only be used with a valid dictionary.,From Oracle doc: Specify the dictionary file in DBMS_LOGMNR.START_LOGMNR().,-- not available --
Parvez,PCS,140-1302,Minor,processing alarm,syntax error in logmnr.opt file,No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1303,Minor,processing alarm,"schema %s, specified in logmnr.opt file, does not exist",The schema specified does not exist.,From Oracle doc: Specify a correct schema or a compatible dictionary file.,-- not available --
Parvez,PCS,140-1304,Minor,processing alarm,"table %s, schema %s, specified in logmnr.opt file, does not exist",No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1305,Minor,processing alarm,"column %s, specified in logmnr.opt file, does not exist in table %s, schema %s",No description available.,From Oracle doc: No action defined.,-- not available --
Parvez,PCS,140-1306,Minor,processing alarm,dbms_logmnr.start_logmnr() must be invoked before selecting from v$logmnr_contents,A select was issued from V$LOGMNR_CONTENTS without first invoking the DBMS_LOGMNR.START_LOGMNR() procedure.,From Oracle doc: Invoke the DBMS_LOGMNR.START_LOGMNR() procedure before issuing a select from the V$LOGMNR_CONTENTS view.,-- not available --
Parvez,PCS,140-1307,Minor,processing alarm,no LogMiner session is currently active,"A select was issued from V$LOGMNR_CONTENTS without first invoking the DBMS_LOGMNR.START_LOGMNR() procedure. Otherwise, DBMS_LOGMNR.END_LOGMNR() was called without a prior call to DBMS_LOGMNR.START_LOGMNR() or DBMS_LOGMNR.ADD_LOGFILE()",From Oracle doc: Invoke the DBMS_LOGMNR.START_LOGMNR() procedure before issuing a select from the V$LOGMNR_CONTENTS view.,-- not available --
Parvez,PCS,140-1400,Minor,processing alarm,primary key or mandatory (NOT NULL) column is missing or NULL during insert,"When inserting or updating rows, a value for a column defined as NOT NULL was not specified.",From Oracle doc: Specify a value for each NOT NULL column or modify the table definition to allow NULL values in columns now defined as NOT NULL.,-- not available --
Parvez,PCS,140-1401,Minor,processing alarm,inserted value too large for column,The value entered is larger than the maximum width defined for the column.,From Oracle doc: Enter a value smaller than the column width or use the MODIFY option with ALTER TABLE to expand the column width.,-- not available --
Parvez,PCS,140-1402,Minor,processing alarm,view WITH CHECK OPTION where-clause violation,An INSERT or UPDATE statement was attempted on a view created with the CHECK OPTION. This would have resulted in the creation of a row that would not satisfy the view's WHERE clause.,"From Oracle doc: Examine the view's WHERE clause in the dictionary table VIEWS. If the current view does not have the CHECK OPTION, then its FROM clause must reference a second view that is defined using the CHECK OPTION. The second view's WHERE clause must also be satisfied by any INSERT or UPDATE statements. To insert the row, it may be necessary to insert it directly into the underlying table, rather than through the view.",-- not available --
Parvez,PCS,140-1403,Minor,processing alarm,no data found,"In a host language program, all records have been fetched. The return code from the fetch was +4, indicating that all records have been returned from the SQL query.",From Oracle doc: Terminate processing for the SELECT statement.,-- not available --
Parvez,PCS,140-1404,Minor,processing alarm,ALTER COLUMN will make an index too large,"Increasing the length of a column would cause the combined length of the columns specified in a previous CREATE INDEX statement to exceed the maximum index length (255). The total index length is computed as the sum of the width of all indexed columns plus the number of indexed columns. Date fields are calculated as a length of 7, character fields are calculated at their defined width, and numeric fields are length 22.",From Oracle doc: The only way to alter the column is to drop the affected index. The index cannot be re-created if to do so would exceed the maximum index width.,-- not available --
Parvez,PCS,140-1405,Minor,processing alarm,fetched column value is NULL,"The INTO clause of a FETCH operation contained a NULL value, and no indicator was used. The column buffer in the program remained unchanged, and the cursor return code was +2. This is an error unless you are running Oracle with DBMS=6, emulating version 6, in which case it is only a warning.","From Oracle doc: You may do any of the following: 

Use the NVL function to convert the retrieved NULL to another value, such as zero or blank. This is the simplest solution. 

Use an indicator to record the presence of the NULL. You probably should use this option when you want a specific action to be taken when a NULL arises. 

Revise the cursor definition so that no columns possibly containing NULL values are retrieved.",-- not available --
Parvez,PCS,140-1406,Minor,processing alarm,fetched column value was truncated,"In a host language program, a FETCH operation was forced to truncate a character string. The program buffer area for this column was not large enough to contain the entire string. The cursor return code from the fetch was +3.",From Oracle doc: Increase the column buffer area to hold the largest column value or perform other appropriate processing.,-- not available --
Parvez,PCS,140-1407,Minor,processing alarm,cannot update mandatory NOT NULL column to NULL,An attempt was made to update data in a NOT NULL column to a NULL value.,From Oracle doc: Specify a value for the column or modify the table definition to accept NULL values in that column.,-- not available --
Parvez,PCS,140-1408,Minor,processing alarm,such column list already indexed,"A CREATE INDEX statement specified a column that is already indexed. A single column may be indexed only once. Additional indexes may be created on the column if it is used as a portion of a concatenated index, that is, if the index consists of multiple columns.","From Oracle doc: Do not attempt to re-index the column, as it is unnecessary. To create a concatenated key, specify one or more additional columns in the CREATE INDEX statement.",-- not available --
Parvez,PCS,140-1409,Minor,processing alarm,NOSORT option may not be used; rows are not in ascending order,"Creation of index with NOSORT option when rows were not ascending. The NOSORT option may only be used for indexes on groups of rows that already are in ascending order. 

For non-unique indexes the ROWID is considered part of the index key. This means that two rows that appear to be stored in ascending order may not be. If you create an index NOSORT, and two of the rows in the table have the same index values, but get split across two extents, the data block address of the first block in the second extent can be less than the data block address of the last block in the first extent. If these addresses are not in ascending order, the ROWIDs are not either. Since these ROWIDs are considered part of the index key, the index key is not in ascending order, and the create index NOSORT fails.",From Oracle doc: Create the index without the NOSORT option or ensure that the table is stored in one extent.,-- not available --
Parvez,PCS,140-1410,Minor,processing alarm,invalid ROWID,A ROWID was entered incorrectly. ROWIDs must be entered as formatted hexadecimal strings using only numbers and the characters A through F. A typical ROWID format is '000001F8.0001.0006'.,"From Oracle doc: Check the format, then enter the ROWID using the correct format. ROWID format: block ID, row in block, file ID.",-- not available --
Parvez,PCS,140-1411,Minor,processing alarm,cannot store the length of column in the indicator,An attempt was made to fetch a column of size more than 64K and could not store the length of the column in the given indicator of size 2 bytes.,From Oracle doc: Use the new bind type with call backs to fetch the long column.,-- not available --
Parvez,PCS,140-1412,Minor,processing alarm,zero length not allowed for this datatype,The length for type 97 is 0.,From Oracle doc: Specify the correct length.,-- not available --
Parvez,PCS,140-1413,Minor,processing alarm,illegal value in packed decimal number buffer,The user buffer bound by the user as packed decimal number contained an illegal value.,From Oracle doc: Use a legal value.,-- not available --
Parvez,PCS,140-1414,Minor,processing alarm,invalid array length when trying to bind array,An attempt was made to bind an array without either a current array length pointer or a zero maximum array length.,From Oracle doc: Specify a valid length.,-- not available --
Parvez,PCS,140-1415,Minor,processing alarm,too many distinct aggregate functions,The query contains more distinct aggregates than can be processed. The current limit is 255.,From Oracle doc: Reduce the number of distinct aggregate functions in the query.,-- not available --
Parvez,PCS,140-1416,Minor,processing alarm,two tables cannot be outer-joined to each other,"Two tables in a join operation specified an outer join with respect to each other. If an outer join is specified on one of the tables in a join condition, it may not be specified on the other table.","From Oracle doc: Remove the outer join specification (+) from one of the tables, then retry the operation.",-- not available --
Parvez,PCS,140-1417,Minor,processing alarm,a table may be outer joined to at most one other table,a.b (+) = b.b and a.c (+) = c.c is not allowed.,"From Oracle doc: Check that this is really what you want, then join b and c first in a view.",-- not available --
Parvez,PCS,140-1418,Minor,processing alarm,specified index does not exist,"An ALTER INDEX, DROP INDEX, or VALIDATE INDEX statement specified the name of an index that does not exist. Only existing indexes can be altered, dropped, or validated. Existing indexes may be listed by querying the data dictionary.","From Oracle doc: Specify the name of an existing index in the ALTER INDEX, DROP INDEX, or VALIDATE INDEX statement.",-- not available --
Parvez,PCS,140-1419,Minor,processing alarm,datdts: illegal format code,An attempt was made to use an incorrect format.,"From Oracle doc: Inspect the format, correct it if necessary, then retry the operation.",-- not available --
Parvez,PCS,140-1420,Minor,processing alarm,datstd: illegal format code,An attempt was made to use an invalid format.,"From Oracle doc: Inspect the format, correct it if necessary, then retry the operation.",-- not available --
Parvez,PCS,140-1421,Minor,processing alarm,datrnd/dattrn: illegal precision specifier,An attempt was made to use an invalid precision specifier.,"From Oracle doc: Inspect the precision specifier, correct it if necessary, then retry the operation.",-- not available --
Parvez,PCS,140-1422,Minor,processing alarm,exact fetch returns more than requested number of rows,The number specified in exact fetch is less than the rows returned.,From Oracle doc: Rewrite the query or change number of rows requested.,-- not available --
Parvez,PCS,140-1423,Minor,processing alarm,error encountered while checking for extra rows in exact fetch,An error was encountered during the execution of an exact fetch. This message will be followed by more descriptive messages.,From Oracle doc: See the accompanying messages and take appropriate action.,-- not available --
Parvez,PCS,140-1424,Minor,processing alarm,missing or illegal character following the escape character,"The character following the escape character in LIKE pattern is missing or not one of the escape character, '%', or '_'.",From Oracle doc: Remove the escape character or specify the missing character.,-- not available --
Parvez,PCS,140-1425,Minor,processing alarm,escape character must be character %s of length 1,Given escape character for LIKE is not a character string of length 1.,From Oracle doc: Change it to a character string of length 1.,-- not available --
Parvez,PCS,140-1426,Minor,processing alarm,numeric overflow,Evaluation of an value expression causes an overflow/underflow.,From Oracle doc: Reduce the operands.,-- not available --
Parvez,PCS,140-1427,Minor,processing alarm,single-row subquery returns more than one row,"The outer query must use one of the keywords ANY, ALL, IN, or NOT IN to specify values to compare because the subquery returned more than one row.","From Oracle doc: Use ANY, ALL, IN, or NOT IN to specify which values to compare or reword the query so only one row is retrieved.",-- not available --
Parvez,PCS,140-1428,Minor,processing alarm,argument '%s' is out of range,"An illegal value for a mathematical function argument was specified. For example 

SELECT SQRT(-1) ""Square Root"" FROM DUAL;",From Oracle doc: See the Oracle8i SQL Reference manual for valid input and ranges of the mathematical functions.,-- not available --
Parvez,PCS,140-1429,Minor,processing alarm,Index-Organized Table: no data segment to store overflow row-pieces,No overflow segment defined.,From Oracle doc: Add overflow segment.,-- not available --
Parvez,PCS,140-1430,Minor,processing alarm,column being added already exists in table,An ALTER TABLE ADD statement specified the name of a column that is already in the table. All column names must be unique within a table.,"From Oracle doc: Specify a unique name for the new column, then re-execute the statement.",-- not available --
Parvez,PCS,140-1431,Minor,processing alarm,internal inconsistency in GRANT command,An internal error occurred while attempting to execute a GRANT statement.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-1432,Minor,processing alarm,public synonym to be dropped does not exist,The synonym specified in DROP PUBLIC SYNONYM is not a valid public synonym. It may be a private synonym.,From Oracle doc: Correct the synonym name or use DROP SYNONYM if the synonym is not public.,-- not available --
Parvez,PCS,140-1433,Minor,processing alarm,synonym to be created is already defined,"A CREATE SYNONYM statement specified a synonym name that is the same as an existing synonym, table, view, or cluster. Synonyms may not have the same name as any other synonym, table, view, or cluster available to the user creating the synonym.","From Oracle doc: Specify a unique name for the synonym, then re-execute the statement.",-- not available --
Parvez,PCS,140-1434,Minor,processing alarm,private synonym to be dropped does not exist,A DROP SYNONYM statement specified a synonym that does not exist. Existing synonym names may be listed by querying the data dictionary.,From Oracle doc: Specify the name of an existing synonym in the DROP SYNONYM statement.,-- not available --
Parvez,PCS,140-1435,Minor,processing alarm,user does not exist,"This message is caused by any reference to a non-existent user. For example, it occurs if a SELECT, GRANT, or REVOKE statement specifies a username that does not exist. Only a GRANT CONNECT statement may specify a new username. All other GRANT and REVOKE statements must specify existing usernames. If specified in a SELECT statement, usernames must already exist.","From Oracle doc: Specify only existing usernames in the SELECT, GRANT, or REVOKE statement or ask the database administrator to define the new username.",-- not available --
Parvez,PCS,140-1436,Minor,processing alarm,CONNECT BY loop in user data,"The condition specified in a CONNECT BY clause caused a loop in the query, where the next record to be selected is a descendent of itself. When this happens, there can be no end to the query.",From Oracle doc: Check the CONNECT BY clause and remove the circular reference.,-- not available --
Parvez,PCS,140-1437,Minor,processing alarm,cannot have join with CONNECT BY,"A join operation was specified with a CONNECT BY clause. If a CONNECT BY clause is used in a SELECT statement for a tree-structured query, only one table may be referenced in the query.",From Oracle doc: Remove either the CONNECT BY clause or the join operation from the SQL statement.,-- not available --
Parvez,PCS,140-1438,Minor,processing alarm,value larger than specified precision allows for this column,"When inserting or updating records, a numeric value was entered that exceeded the precision defined for the column.","From Oracle doc: Enter a value that complies with the numeric column's precision, or use the MODIFY option with the ALTER TABLE command to expand the precision.",-- not available --
Parvez,PCS,140-1439,Minor,processing alarm,column to be modified must be empty to change datatype,An ALTER TABLE MODIFY statement attempted to change the datatype of a column containing data. A column whose datatype is to be altered must contain only NULL values.,"From Oracle doc: To alter the datatype, first set all values in the column to NULL.",-- not available --
Parvez,PCS,140-1440,Minor,processing alarm,column to be modified must be empty to decrease precision or scale,"An ALTER TABLE MODIFY statement attempted to decrease the scale or precision of a numeric column containing data. In order to decrease either of these values, the column must contain only NULL values. An attempt to increase the scale without also increasing the precision will also cause this message.","From Oracle doc: Set all values in the column to NULL before decreasing the numeric precision or scale. If attempting to increase the scale, increase the precision in accordance with the scale or set all values in the column to NULL first.",-- not available --
Parvez,PCS,140-1441,Minor,processing alarm,column to be modified must be empty to decrease column length,An ALTER TABLE MODIFY statement attempted to decrease the size of a character field containing data. A column whose maximum size is to be decreased must contain only NULL values.,From Oracle doc: Set all values in column to NULL before decreasing the maximum size.,-- not available --
Parvez,PCS,140-1442,Warning,indeterminate,column to be modified to NOT NULL is already NOT NULL,"An ALTER TABLE MODIFY statement attempted to change a column specification unnecessarily, from NOT NULL to NOT NULL.",From Oracle doc: No action required.,-- not available --
Parvez,PCS,140-1443,Minor,processing alarm,internal inconsistency; illegal datatype in resultant view column,An internal error occurred in referencing a view.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-1444,Minor,processing alarm,internal inconsistency; internal datatype maps to invalid external type,This is an internal error message not normally issued.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-1445,Minor,processing alarm,cannot select ROWID from a join view without a key-preserved table,"A SELECT statement attempted to select ROWIDs from a view derived from a join operation. Because the rows selected in the view do not correspond to underlying physical records, no ROWIDs can be returned.","From Oracle doc: Remove ROWID from the view selection clause, then re-execute the statement.",-- not available --
Parvez,PCS,140-1446,Minor,processing alarm,"cannot select ROWID from view with DISTINCT, GROUP BY, etc.","A SELECT statement attempted to select ROWIDs from a view containing columns derived from functions or expressions. Because the rows selected in the view do not correspond to underlying physical records, no ROWIDs can be returned.","From Oracle doc: Remove ROWID from the view selection clause, then re-execute the statement.",-- not available --
Parvez,PCS,140-1447,Minor,processing alarm,ALTER TABLE does not operate on clustered columns,An ALTER TABLE MODIFY statement specified a column used to cluster the table. Clustered columns may not be altered.,"From Oracle doc: To alter the column, first re-create the table in non-clustered form. The column's size can be increased at the same time.",-- not available --
Parvez,PCS,140-1448,Minor,processing alarm,index must be dropped before changing to desired type,"An ALTER TABLE MODIFY statement attempted to change an indexed character column to a LONG column. Columns with the datatype LONG may not be indexed, so the index must be dropped before the modification.",From Oracle doc: Drop all indexes referencing the column before changing its datatype to LONG.,-- not available --
Parvez,PCS,140-1449,Minor,processing alarm,column contains NULL values; cannot alter to NOT NULL,An ALTER TABLE MODIFY statement attempted to change the definition of a column containing NULL values to NOT NULL. The column may not currently contain any NULL values if it is to be altered to NOT NULL.,From Oracle doc: Set all NULL values in the column to values other than NULL before ALTERING the column to NOT NULL.,-- not available --
Parvez,PCS,140-1450,Minor,processing alarm,maximum key length (%s) exceeded,"The combined length of all the columns specified in a CREATE INDEX statement exceeded the maximum index length. The maximum index length varies by operating system. The total index length is computed as the sum of the width of all indexed columns plus the number of indexed columns. Date fields have a length of 7, character fields have their defined length, and numeric fields have a length of 22. Numeric length = (precision/2) + 1. If negative, add +1.",From Oracle doc: Select columns to be indexed so the total index length does not exceed the maximum index length for the operating system. See also your operating system-specific Oracle documentation.,-- not available --
Parvez,PCS,140-1451,Minor,processing alarm,column to be modified to NULL cannot be modified to NULL,"The column may already allow NULL values, the NOT NULL constraint is part of a primary key or check constraint, or an ALTER TABLE MODIFY statement attempted to change a column specification unnecessarily, from NULL to NULL.","From Oracle doc: If a primary key or check constraint is enforcing the NOT NULL constraint, then drop that constraint.",-- not available --
Parvez,PCS,140-1452,Minor,processing alarm,cannot CREATE UNIQUE INDEX; duplicate keys found,A CREATE UNIQUE INDEX statement specified one or more columns that currently contain duplicate values. All values in the indexed columns must be unique by row to create a UNIQUE INDEX.,"From Oracle doc: If the entries need not be unique, remove the keyword UNIQUE from the CREATE INDEX statement, then re-execute the statement. If the entries must be unique, as in a primary key, then remove duplicate values before creating the UNIQUE index.",-- not available --
Parvez,PCS,140-1453,Minor,processing alarm,SET TRANSACTION must be first statement of transaction,A transaction was not processed properly because the SET TRANSACTION statement was not the first statement.,From Oracle doc: Commit or roll back the current transaction before using the statement SET TRANSACTION.,-- not available --
Parvez,PCS,140-1454,Minor,processing alarm,cannot convert column into numeric datatype,A non-numeric value could not be converted into a number value.,"From Oracle doc: Check the value to make sure it contains only numbers, a sign, a decimal point, and the character ""E"" or ""e"", then retry the operation.",-- not available --
Parvez,PCS,140-1455,Minor,processing alarm,converting column overflows integer datatype,The converted form of the specified expression was too large for the specified datatype.,From Oracle doc: Define a larger datatype or correct the data.,-- not available --
Parvez,PCS,140-1456,Minor,processing alarm,may not perform insert/delete/update operation inside a READ ONLY transaction,A non-DDL insert/delete/update or select for update operation was attempted.,"From Oracle doc: Commit (or roll back) the transaction, and then re-execute.",-- not available --
Parvez,PCS,140-1457,Minor,processing alarm,converting column overflows decimal datatype,"The converted form of the specified expression was too large for the specified type. The problem also occurs in COBOL programs when using COMP-3 in the picture clause, which is acceptable to the Pro*COBOL Precompiler and to COBOL but results in this error.",From Oracle doc: Define a larger datatype or correct the data.,-- not available --
Parvez,PCS,140-1458,Minor,processing alarm,invalid length inside variable character %s,An attempt was made to bind or define a variable character string with a buffer length less than the minimum requirement.,From Oracle doc: Increase the buffer size or use a different type.,-- not available --
Parvez,PCS,140-1459,Minor,processing alarm,invalid length for variable character %s,The buffer length was less than the minimum required or greater than its length at bind time minus two bytes.,From Oracle doc: Make sure the string size is long enough to hold the buffer.,-- not available --
Parvez,PCS,140-1460,Minor,processing alarm,unimplemented or unreasonable conversion requested,The requested format conversion is not supported.,"From Oracle doc: Remove the requested conversion from the SQL statement. Check the syntax for the TO_CHAR, TO_DATE, and TO_NUMBER functions to see which conversions are supported.",-- not available --
Parvez,PCS,140-1461,Minor,processing alarm,can bind a LONG value only for insert into a LONG column,An attempt was made to insert a value from a LONG datatype into another datatype. This is not allowed.,From Oracle doc: Do not try to insert LONG datatypes into other types of columns.,-- not available --
Parvez,PCS,140-1462,Minor,processing alarm,cannot insert %s literals longer than 2000 characters,The longest literal supported by Oracle consists of 2000 characters.,From Oracle doc: Reduce the number of characters in the literal to 2000 characters or fewer or use the VARCHAR2 or LONG datatype to insert strings exceeding 2000 characters.,-- not available --
