Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,140-53,Minor,processing alarm,maximum number of enqueues exceeded,Ran out of enqueue state objects.,From Oracle doc: Increase the value of the ENQUEUES initialization parameter.,-- not available --
Parvez,PCS,140-54,Minor,processing alarm,resource busy and acquire with NOWAIT specified,The NOWAIT keyword forced a return to the command prompt because a resource was unavailable for a LOCK TABLE or SELECT FOR UPDATE command.,From Oracle doc: Try the command after a few minutes or enter the command without the NOWAIT keyword.,-- not available --
Parvez,PCS,140-55,Minor,processing alarm,maximum number of DML locks exceeded,Ran out of DML lock state objects.,From Oracle doc: Increase the value of the DML_LOCKS initialization parameter and restart Oracle.,-- not available --
Parvez,PCS,140-56,Minor,processing alarm,DDL lock on object '%s.%s' is already held in an incompatible mode,The attempted lock is incompatible with the DDL lock already held on the object. This happens if you attempt to drop a table that has parse locks.,"From Oracle doc: Before attempting to drop a table, check that it has no parse locks. Wait a few minutes before retrying the operation.",-- not available --
Parvez,PCS,140-57,Minor,processing alarm,maximum number of temporary table locks exceeded,The number of temporary tables equals or exceeds the number of temporary table locks. Temporary tables are often created by large sorts.,From Oracle doc: Increase the value of the TEMPORARY_TABLE_LOCKS initialization parameter and restart Oracle.,-- not available --
Parvez,PCS,140-58,Minor,processing alarm,DB_BLOCK_SIZE must be %s to mount this database (not %s),"The value of the DB_BLOCK_SIZE initialization parameter used to start this database does not match the value used when that database was created. Potential reasons for this mismatch are:

mounting the wrong database 

using the wrong initialization parameter file 

the value of the DB_BLOCK_SIZE parameter was changed","From Oracle doc: For one of the above causes, either:

mount the correct database 

use the correct initialization parameter file 

correct the value of the DB_BLOCK_SIZE parameter",-- not available --
Parvez,PCS,140-59,Minor,processing alarm,maximum number of DB_FILES exceeded,The value of the DB_FILES initialization parameter was exceeded.,From Oracle doc: Increase the value of the DB_FILES parameter and restart Oracle.,-- not available --
Parvez,PCS,140-60,Minor,processing alarm,deadlock detected while waiting for resource,"Your session and another session are waiting for a resource locked by the other. This condition is known as a deadlock. To resolve the deadlock, one or more statements were rolled back for the other session to continue work.","From Oracle doc: Either:

Enter a ROLLBACK statement and re-execute all statements since the last commit or 

Wait until the lock is released, possibly a few minutes, and then re-execute the rolled back statements.",-- not available --
Parvez,PCS,140-61,Minor,processing alarm,another instance has a different DML_LOCKS setting,"The shared instance being started is using DML locks, and the running instances are not, or vice-versa.","From Oracle doc: Either:

Do not use DML_LOCKS by setting DML_LOCKS to zero at all instances or 

Use DML_LOCKS by setting DML_LOCKS to a positive integer at all instances.",-- not available --
Parvez,PCS,140-62,Minor,processing alarm,DML full-table lock cannot be acquired; DML_LOCKS is 0,"The instance was started with the value of DML_LOCKS set to zero, and the statement being executed needs a full-table lock (S, X, or SSX).","From Oracle doc: Restart the instance with DML_LOCKS not equal to zero, and re-execute the statement.",-- not available --
